lat,lon,category
25.00918002,121.48644,manufacture
25.01193,121.46562,health
25.01243002,121.53619,health
25.01296,121.53488,manufacture
25.01314,121.51273,pharma
25.01338002,121.51447,health
25.01338002,121.51447,health
25.01583998,121.30628,manufacture
25.01650999,121.29805,manufacture
25.01739001,121.47945,manufacture
25.02259001,121.54834,manufacture
25.02274998,121.54355,manufacture
25.02281,121.42893,manufacture
25.02428999,121.56984,pharma
25.02441002,121.55327,health
25.02512998,121.54294,manufacture
25.02599998,121.54925,pharma
25.02599998,121.54925,manufacture
25.02599998,121.54925,finance
25.02638883,121.543815,manufacture
25.02638883,121.543815,pharma
25.02638883,121.543815,manufacture
25.02684002,121.52233,manufacture
25.02684002,121.52233,manufacture
25.02694001,121.49353,manufacture
25.02808222,121.5215603,manufacture
25.02845001,121.54912,health
25.0288436,121.3059586,manufacture
25.02894999,121.52542,manufacture
25.03040002,121.54918,manufacture
25.03040002,121.54918,health
25.03073002,121.54915,manufacture
25.03073002,121.44179,manufacture
25.03085,121.30451,manufacture
25.03127002,121.54377,finance
25.03140933,121.57235,manufacture
25.03140933,121.57235,pharma
25.03140933,121.57235,health
25.03157001,121.54838,health
25.03196999,121.41967,manufacture
25.03267001,121.56363,manufacture
25.03282,121.55988,manufacture
25.03300772,121.5485215,manufacture
25.03332329,121.5542868,health
25.03344998,121.51744,finance
25.03364,121.47539,pharma
25.03370002,121.55974,pharma
25.03372,121.56481,health
25.03372,121.56481,health
25.03385375,121.52061,manufacture
25.03385375,121.52061,health
25.03425,121.56111,finance
25.03435032,121.6186978,pharma
25.03435032,121.6186978,health
25.03435032,121.6186978,pharma
25.03435032,121.6186978,pharma
25.03435032,121.6186978,health
25.03435032,121.6186978,health
25.03504092,121.5248674,health
25.03625,121.56869,manufacture
25.03639663,121.5228834,manufacture
25.03737,121.56355,manufacture
25.03737,121.56355,finance
25.03737,121.56355,finance
25.03737,121.56355,health
25.03737,121.56355,finance
25.03737,121.56355,health
25.03737,121.56355,manufacture
25.03737,121.56355,manufacture
25.03737,121.56355,finance
25.03737,121.56355,health
25.03737,121.56355,manufacture
25.03737,121.56355,finance
25.03737,121.56355,health
25.0374,121.55576,manufacture
25.0374,121.55576,manufacture
25.03761998,121.54632,finance
25.03809,121.52599,health
25.03827,121.6018438,pharma
25.03827,121.6018438,health
25.03827,121.6018438,pharma
25.03827,121.6018438,health
25.03827,121.6018438,pharma
25.03869002,121.53307,manufacture
25.03871998,121.56821,pharma
25.03887999,121.56569,manufacture
25.03917,121.55037,manufacture
25.03935998,121.56586,finance
25.03937,121.37298,manufacture
25.03943999,121.56417,manufacture
25.03969002,121.5435,pharma
25.03989998,121.55644,manufacture
25.04015002,121.43461,manufacture
25.04017998,121.56354,manufacture
25.04017998,121.56354,manufacture
25.04033354,121.5078231,finance
25.04056002,121.53307,manufacture
25.04063998,121.56661,health
25.04076001,121.57368,manufacture
25.04097999,121.56389,finance
25.04115002,121.57882,pharma
25.04119,121.5325,manufacture
25.04147,121.57864,manufacture
25.04166002,121.55251,manufacture
25.04166999,121.5521,manufacture
25.04202002,121.53258,manufacture
25.04207999,121.56469,manufacture
25.04245999,121.58144,manufacture
25.04245999,121.58144,manufacture
25.04271999,121.58149,manufacture
25.04271999,121.58149,manufacture
25.04273998,121.52262,health
25.04276002,121.5325,manufacture
25.04276002,121.5325,manufacture
25.04276999,121.58146,manufacture
25.04276999,121.58146,manufacture
25.04283,121.58142,manufacture
25.04285,121.50519,manufacture
25.04308,121.57713,health
25.04309001,121.50527,manufacture
25.04319001,121.50243,manufacture
25.04347001,121.51644,manufacture
25.04349,121.51525,pharma
25.04349,121.51525,pharma
25.04362,121.5636,manufacture
25.04394002,121.52201,manufacture
25.04396001,121.51958,health
25.04445999,121.54927,manufacture
25.04468002,121.53526,manufacture
25.0449,121.52726,finance
25.04531,121.46696,manufacture
25.04537999,121.29621,manufacture
25.04537999,121.29621,manufacture
25.04542001,121.46718,manufacture
25.04547,121.58305,health
25.04557998,121.55793,health
25.04570998,121.52597,manufacture
25.04582,121.54367,pharma
25.04611001,121.5186,manufacture
25.04614002,121.46737,manufacture
25.04621998,121.5153,manufacture
25.04641,121.54033,finance
25.04664,121.53706,finance
25.04680998,121.5397,finance
25.04685001,121.51313,finance
25.04692,121.54914,manufacture
25.04744001,121.53273,manufacture
25.04777001,121.54371,manufacture
25.04794502,121.5440208,pharma
25.04795001,121.11722,manufacture
25.04795998,121.54416,manufacture
25.04806999,121.55156,finance
25.04831,121.53566,manufacture
25.04831001,121.54553,finance
25.04843,121.58647,manufacture
25.04844999,121.52117,manufacture
25.04905001,121.58885,manufacture
25.04923998,121.52368,pharma
25.04929104,121.5779034,pharma
25.04944002,121.52377,manufacture
25.04944002,121.52377,health
25.04987998,121.54092,manufacture
25.04987998,121.54092,manufacture
25.05003002,121.51228,manufacture
